                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.06111,                0.74086,                0.86557,                0.49971,                      1,                0.53759,                0.53674,                0.07778,                0.74942,                0.36701,             0.00058603,             0.00058603,             0.00058603
                    133,                0.05688,                0.73904,                0.86056,                0.49935,                      1,                0.53755,                 0.5363,                0.10621,                0.74973,                0.39298,             0.00057778,             0.00057778,             0.00057778
                    134,                 0.0589,                0.73869,                0.85816,                0.49813,                      1,                0.52965,                0.52838,                 0.0779,                0.74452,                0.37226,             0.00056953,             0.00056953,             0.00056953
                    135,                0.06033,                0.73741,                0.85423,                0.49936,                      1,                0.53444,                0.53429,                0.05873,                0.72087,                0.35485,             0.00056128,             0.00056128,             0.00056128
                    136,                0.06017,                0.73873,                0.85721,                0.49863,                      1,                0.51884,                0.51646,                0.07133,                0.74966,                0.36985,             0.00055303,             0.00055303,             0.00055303
                    137,                0.05887,                0.73561,                0.84966,                0.49858,                      1,                0.53212,                0.53154,                0.06957,                0.73877,                0.36582,             0.00054478,             0.00054478,             0.00054478
                    138,                0.05966,                0.73365,                0.85773,                0.49857,                      1,                0.53906,                0.53617,                0.06862,                0.73132,                0.36001,             0.00053652,             0.00053652,             0.00053652
                    139,                0.05962,                0.74101,                0.86244,                0.49953,                      1,                0.55391,                0.55391,                0.06286,                0.72037,                0.35501,             0.00052827,             0.00052827,             0.00052827
                    140,                0.06065,                0.73816,                0.85216,                0.49978,                      1,                0.52342,                0.52328,                 0.0768,                0.73631,                0.36548,             0.00052002,             0.00052002,             0.00052002
                    141,                0.05608,                0.73722,                0.85129,                0.49976,                      1,                0.54487,                0.54174,                0.08195,                0.74824,                0.37217,             0.00051177,             0.00051177,             0.00051177
                    142,                0.05443,                0.73455,                  0.858,                0.49869,                      1,                0.53555,                0.53356,                0.05725,                0.72241,                0.35843,             0.00050352,             0.00050352,             0.00050352
                    143,                0.05429,                0.73926,                0.85941,                0.49964,                      1,                0.53345,                0.53327,                0.06761,                0.71705,                0.35927,             0.00049527,             0.00049527,             0.00049527
                    144,                0.05514,                0.73617,                0.85819,                0.49875,                      1,                0.53491,                0.53461,                0.05459,                0.74011,                 0.3544,             0.00048701,             0.00048701,             0.00048701
