                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.08088,                0.74706,                0.87452,                0.46134,                0.98991,                0.51644,                0.51638,                0.08194,                0.77347,                0.83282,             0.00085009,             0.00085009,             0.00085009
                    101,                0.07068,                0.74161,                0.85761,                0.49909,                0.99684,                0.53912,                0.53912,                0.06608,                0.72679,                0.79793,             0.00084184,             0.00084184,             0.00084184
                    102,                0.07114,                0.74288,                0.85583,                0.49996,                0.99489,                0.52894,                0.52871,                0.05255,                0.72229,                0.80732,             0.00083358,             0.00083358,             0.00083358
                    103,                0.07238,                 0.7441,                0.86107,                0.49931,                      1,                0.52998,                0.52813,                0.06678,                0.73479,                0.83917,             0.00082533,             0.00082533,             0.00082533
                    104,                 0.0721,                0.74371,                0.86241,                0.49842,                      1,                0.53947,                0.53717,                0.06733,                  0.738,                0.82315,             0.00081708,             0.00081708,             0.00081708
                    105,                0.06849,                0.73853,                0.86455,                  0.496,                0.99537,                0.52512,                0.52393,                0.09372,                0.76774,                0.84496,             0.00080883,             0.00080883,             0.00080883
                    106,                0.06814,                0.74298,                0.86145,                0.49806,                      1,                0.52355,                0.52344,                0.05769,                0.75311,                0.80504,             0.00080058,             0.00080058,             0.00080058
                    107,                0.06988,                0.74345,                0.86881,                0.49757,                      1,                0.53528,                0.53523,                0.05523,                0.73728,                0.84156,             0.00079233,             0.00079233,             0.00079233
                    108,                0.07121,                0.73845,                0.86594,                 0.4978,                      1,                0.53504,                0.53378,                 0.0554,                0.72494,                0.84468,             0.00078407,             0.00078407,             0.00078407
                    109,                0.07025,                0.73929,                0.86518,                0.40726,                 0.9718,                0.51322,                0.50833,                0.06471,                0.91202,                0.84583,             0.00077582,             0.00077582,             0.00077582
                    110,                0.07612,                0.75188,                0.86695,                0.49857,                      1,                0.53988,                0.53945,                0.05903,                0.72948,                0.82319,             0.00076757,             0.00076757,             0.00076757
                    111,                0.07445,                0.74048,                0.86811,                0.49533,                0.99806,                0.56095,                0.55958,                0.07526,                0.74618,                0.76842,             0.00075932,             0.00075932,             0.00075932
                    112,                0.07043,                0.74169,                0.86353,                0.49858,                      1,                0.52804,                0.52697,                0.07782,                0.73558,                0.72997,             0.00075107,             0.00075107,             0.00075107
                    113,                0.07187,                0.74021,                 0.8646,                 0.4996,                      1,                 0.5285,                0.51033,                0.08925,                0.73706,                0.61522,             0.00074282,             0.00074282,             0.00074282
                    114,                 0.0703,                0.74166,                0.86666,                0.49863,                      1,                0.52032,                0.51943,                0.06549,                0.73327,                0.72407,             0.00073456,             0.00073456,             0.00073456
                    115,                0.07202,                0.74078,                0.86122,                0.48242,                0.99769,                0.53747,                0.52922,                0.06494,                  0.807,                0.78408,             0.00072631,             0.00072631,             0.00072631
                    116,                0.06891,                0.74126,                0.86292,                0.49849,                      1,                0.51368,                0.51291,                0.05127,                0.73308,                 0.7967,             0.00071806,             0.00071806,             0.00071806
                    117,                0.06801,                0.74282,                0.86402,                0.49783,                0.99967,                0.52524,                0.52473,                0.05619,                0.73064,                0.73899,             0.00070981,             0.00070981,             0.00070981
                    118,                0.06701,                0.73896,                0.86315,                0.49905,                      1,                0.53927,                0.53703,                0.05852,                0.72305,                0.75763,             0.00070156,             0.00070156,             0.00070156
                    119,                0.06559,                0.74471,                0.86199,                0.49727,                      1,                0.52933,                0.52702,                 0.0617,                0.72833,                0.75772,             0.00069331,             0.00069331,             0.00069331
                    120,                0.06611,                0.73772,                0.86275,                0.49643,                      1,                 0.5453,                 0.5431,                0.06793,                 0.7341,                0.76065,             0.00068505,             0.00068505,             0.00068505
                    121,                0.06554,                0.73632,                0.85818,                0.49798,                0.99831,                0.53484,                0.52865,                0.06106,                0.74224,                0.75861,              0.0006768,              0.0006768,              0.0006768
                    122,                0.06783,                0.73796,                0.86255,                 0.4985,                      1,                0.54773,                0.54698,                0.05922,                0.72947,                 0.7974,             0.00066855,             0.00066855,             0.00066855
                    123,                 0.0622,                0.73605,                 0.8586,                0.46131,                      1,                0.54106,                0.53756,                0.06083,                0.74793,                0.76723,              0.0006603,              0.0006603,              0.0006603
                    124,                0.06211,                0.73523,                0.86347,                0.49872,                      1,                0.53038,                0.52818,                0.05566,                0.71741,                0.76221,             0.00065205,             0.00065205,             0.00065205
                    125,                 0.0616,                0.73492,                0.86187,                0.49909,                0.99769,                0.53748,                0.53726,                0.04946,                0.72676,                0.76375,              0.0006438,              0.0006438,              0.0006438
                    126,                0.06447,                0.73752,                0.86157,                0.49914,                      1,                0.51908,                0.51753,                0.05376,                0.74079,                0.85284,             0.00063554,             0.00063554,             0.00063554
                    127,                0.06059,                0.73553,                0.85861,                0.49797,                      1,                0.52413,                0.52412,                0.04314,                0.72027,                0.82764,             0.00062729,             0.00062729,             0.00062729
                    128,                 0.0617,                0.73732,                0.86138,                0.49727,                      1,                0.53527,                0.53519,                 0.0454,                0.73157,                0.85225,             0.00061904,             0.00061904,             0.00061904
                    129,                0.05993,                 0.7397,                0.86134,                0.49835,                      1,                0.53031,                0.53028,                0.04269,                 0.7266,                0.84946,             0.00061079,             0.00061079,             0.00061079
                    130,                0.05857,                0.73191,                0.85797,                 0.4984,                      1,                0.53412,                0.53396,                0.04897,                0.71454,                0.84225,             0.00060254,             0.00060254,             0.00060254
                    131,                0.05935,                0.73944,                0.86186,                0.49501,                0.99951,                0.53234,                0.53218,                0.04968,                0.72127,                0.85372,             0.00059429,             0.00059429,             0.00059429
