                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.06382,                0.74985,                0.87027,                0.49873,                0.99969,                0.55343,                0.55343,                0.09541,                0.74471,                 0.4324,             0.00079233,             0.00079233,             0.00079233
                    108,                0.06029,                0.74403,                0.86233,                0.49968,                      1,                0.54046,                0.54046,                0.11272,                0.74882,                0.45981,             0.00078407,             0.00078407,             0.00078407
                    109,                0.05827,                0.74308,                0.86356,                0.49945,                      1,                0.52806,                0.52804,                0.11561,                0.75101,                0.45165,             0.00077582,             0.00077582,             0.00077582
                    110,                 0.0736,                0.74661,                0.87249,                0.49974,                      1,                0.54883,                0.54883,                0.08956,                0.73545,                0.42988,             0.00076757,             0.00076757,             0.00076757
                    111,                0.05668,                0.73783,                0.86407,                0.49866,                      1,                 0.5423,                0.54143,                0.08517,                0.73304,                0.42761,             0.00075932,             0.00075932,             0.00075932
                    112,                0.06318,                0.74014,                0.86316,                0.49852,                      1,                0.53146,                0.53127,                0.10018,                 0.7462,                0.44706,             0.00075107,             0.00075107,             0.00075107
                    113,                0.05498,                0.73641,                0.86366,                0.49962,                 0.9994,                0.54147,                0.54147,                0.10072,                 0.7449,                0.44476,             0.00074282,             0.00074282,             0.00074282
                    114,                0.05697,                 0.7391,                0.86631,                0.49777,                      1,                0.53626,                0.53583,                0.10164,                0.75476,                0.43578,             0.00073456,             0.00073456,             0.00073456
                    115,                0.05757,                0.73894,                0.85806,                0.49947,                      1,                0.54148,                0.54148,                0.07829,                0.73647,                0.41882,             0.00072631,             0.00072631,             0.00072631
                    116,                0.05542,                0.74117,                0.86014,                0.49912,                      1,                0.53983,                0.53983,                  0.082,                 0.7348,                0.42247,             0.00071806,             0.00071806,             0.00071806
                    117,                0.05248,                0.73801,                0.86367,                0.49748,                      1,                0.53109,                0.53109,                0.09038,                0.74028,                0.42949,             0.00070981,             0.00070981,             0.00070981
                    118,                0.05534,                0.73971,                 0.8614,                0.49861,                      1,                 0.5485,                 0.5485,                0.08544,                0.73354,                 0.4269,             0.00070156,             0.00070156,             0.00070156
                    119,                0.05268,                0.73946,                0.86294,                0.49938,                      1,                0.53303,                0.53301,                0.08451,                0.73185,                 0.4301,             0.00069331,             0.00069331,             0.00069331
                    120,                0.05179,                0.73847,                0.86058,                0.49885,                      1,                0.54563,                0.54432,                0.08561,                0.73424,                0.42719,             0.00068505,             0.00068505,             0.00068505
                    121,                0.05367,                0.73556,                0.85362,                0.49873,                      1,                 0.5195,                0.51888,                0.07806,                0.73433,                0.41545,              0.0006768,              0.0006768,              0.0006768
                    122,                0.05278,                0.73846,                0.86067,                0.49978,                      1,                0.53406,                0.53406,                0.08419,                0.74681,                0.42397,             0.00066855,             0.00066855,             0.00066855
                    123,                 0.0512,                0.73703,                 0.8571,                0.49801,                      1,                0.53288,                0.52983,                0.08975,                0.73747,                0.42402,              0.0006603,              0.0006603,              0.0006603
                    124,                0.05078,                0.73757,                0.86182,                0.49862,                      1,                0.52513,                0.52501,                0.08732,                0.73877,                0.42779,             0.00065205,             0.00065205,             0.00065205
                    125,                0.05507,                0.73855,                0.86102,                 0.4974,                      1,                0.53336,                0.53303,                0.09501,                0.74725,                0.43075,              0.0006438,              0.0006438,              0.0006438
                    126,                 0.0567,                0.74355,                0.86145,                 0.4997,                      1,                0.53542,                0.53542,                0.08204,                0.74266,                0.41945,             0.00063554,             0.00063554,             0.00063554
                    127,                0.05363,                0.74174,                 0.8591,                0.49746,                      1,                0.53231,                0.53007,                0.07114,                0.73683,                0.41537,             0.00062729,             0.00062729,             0.00062729
                    128,                0.05139,                 0.7408,                0.85985,                0.49821,                      1,                 0.5404,                0.54034,                0.06988,                0.74028,                  0.411,             0.00061904,             0.00061904,             0.00061904
                    129,                0.08876,                0.79527,                0.90817,                 0.4851,                      1,                0.54413,                0.54393,                0.09114,                0.76454,                0.41767,             0.00061079,             0.00061079,             0.00061079
                    130,                0.05373,                0.73997,                0.85783,                0.49977,                      1,                0.54919,                0.54918,                0.07148,                 0.7349,                 0.4052,             0.00060254,             0.00060254,             0.00060254
                    131,                0.05355,                0.74346,                0.86431,                 0.4955,                0.99769,                0.52914,                0.52914,                0.07289,                0.73958,                0.40916,             0.00059429,             0.00059429,             0.00059429
                    132,                0.05194,                0.74212,                0.85528,                0.49723,                0.99769,                0.53904,                0.53787,                 0.0863,                0.74535,                 0.4236,             0.00058603,             0.00058603,             0.00058603
                    133,                0.05126,                0.74042,                0.85897,                0.49971,                      1,                0.54325,                0.54325,                0.08002,                0.74357,                0.42085,             0.00057778,             0.00057778,             0.00057778
                    134,                0.05082,                0.73885,                 0.8576,                0.49856,                      1,                 0.5301,                0.52941,                0.07612,                0.73845,                0.41666,             0.00056953,             0.00056953,             0.00056953
                    135,                0.05101,                0.73845,                0.85907,                0.49973,                      1,                0.54968,                0.54947,                0.08278,                0.74023,                0.42244,             0.00056128,             0.00056128,             0.00056128
                    136,                 0.0508,                0.74022,                0.86376,                 0.4997,                      1,                0.54733,                0.54685,                 0.0855,                0.73664,                 0.4267,             0.00055303,             0.00055303,             0.00055303
                    137,                0.05006,                0.73476,                 0.8558,                0.49886,                      1,                0.53861,                0.53657,                0.07527,                0.73261,                0.41444,             0.00054478,             0.00054478,             0.00054478
                    138,                0.04953,                0.73378,                0.85912,                0.49861,                      1,                 0.5513,                0.55128,                0.08798,                0.73803,                0.42637,             0.00053652,             0.00053652,             0.00053652
                    139,                0.05119,                0.74118,                0.85875,                0.49863,                      1,                0.53782,                0.53758,                0.08081,                0.73547,                 0.4176,             0.00052827,             0.00052827,             0.00052827
                    140,                0.04901,                0.73705,                0.85961,                 0.4986,                      1,                  0.548,                0.54748,                0.08262,                0.73668,                0.42379,             0.00052002,             0.00052002,             0.00052002
                    141,                    inf,                 0.7358,                 0.8551,                0.49977,                      1,                0.55214,                0.55214,                0.08564,                0.73496,                0.42695,             0.00051177,             0.00051177,             0.00051177
                    142,                0.04755,                0.73531,                0.85834,                0.49978,                      1,                 0.5575,                0.55697,                 0.0838,                0.73079,                0.42252,             0.00050352,             0.00050352,             0.00050352
                    143,                0.05756,                0.74269,                 0.8721,                0.49975,                      1,                0.55643,                0.55643,                0.08504,                0.72851,                0.42271,             0.00049527,             0.00049527,             0.00049527
                    144,                 0.0476,                0.73592,                0.86086,                0.49918,                      1,                0.56261,                0.56042,                0.09432,                 0.7315,                0.43384,             0.00048701,             0.00048701,             0.00048701
                    145,                0.04637,                0.73442,                0.85844,                0.49978,                      1,                0.54392,                0.54391,                0.08931,                0.73255,                0.42744,             0.00047876,             0.00047876,             0.00047876
                    146,                0.04682,                0.73527,                0.85908,                0.49891,                      1,                0.53818,                0.53721,                0.08606,                0.73805,                0.42205,             0.00047051,             0.00047051,             0.00047051
                    147,                0.04693,                0.73822,                0.86096,                0.49931,                      1,                0.54918,                0.54917,                0.09178,                0.73308,                0.42892,             0.00046226,             0.00046226,             0.00046226
                    148,                0.04671,                0.73668,                0.85615,                0.49966,                      1,                0.54993,                0.54993,                0.08213,                0.72853,                0.41953,             0.00045401,             0.00045401,             0.00045401
                    149,                0.04631,                 0.7363,                0.85667,                0.49862,                      1,                0.54483,                0.54483,                0.08209,                0.72862,                0.41838,             0.00044576,             0.00044576,             0.00044576
                    150,                0.04856,                0.73539,                0.86008,                 0.4988,                      1,                0.52791,                0.52791,                0.07776,                0.73169,                0.41589,              0.0004375,              0.0004375,              0.0004375
                    151,                0.04883,                0.73804,                0.85964,                0.49966,                      1,                0.53943,                0.53941,                0.08644,                0.73699,                0.42306,             0.00042925,             0.00042925,             0.00042925
                    152,                0.04407,                0.73477,                0.85727,                0.49959,                      1,                0.53778,                0.53778,                0.07639,                0.73829,                0.41394,               0.000421,               0.000421,               0.000421
                    153,                0.04581,                0.73539,                0.85593,                0.49865,                      1,                0.54246,                0.54246,                0.08694,                0.73436,                0.42205,             0.00041275,             0.00041275,             0.00041275
                    154,                0.04517,                0.73791,                0.85765,                0.49858,                      1,                0.54784,                0.54782,                0.09605,                0.73416,                0.43547,              0.0004045,              0.0004045,              0.0004045
                    155,                0.04476,                0.73512,                0.86088,                0.49903,                      1,                0.53507,                0.53506,                0.07797,                0.73172,                0.41889,             0.00039625,             0.00039625,             0.00039625
                    156,                0.04414,                0.73264,                0.85969,                0.49908,                      1,                0.55173,                0.55172,                0.08285,                0.73386,                0.42607,             0.00038799,             0.00038799,             0.00038799
                    157,                0.04477,                0.73825,                0.86172,                0.49939,                      1,                0.53931,                0.53931,                0.07686,                0.72975,                 0.4144,             0.00037974,             0.00037974,             0.00037974
                    158,                0.04612,                0.73854,                0.85776,                0.49951,                      1,                0.55701,                0.55679,                0.08238,                0.73512,                0.42057,             0.00037149,             0.00037149,             0.00037149
